Age,Attrition Status,Business Travel Frequency,Department,Distance From Home (km),Education Level,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Level,Job Role,Job Satisfaction,Marital Status,Monthly Income ($),Count Previous Companies,Works Overtime,Salary Hike (%),Relationship Satisfaction,Stock Option Level,Total Working Years,Training Times Last Year,Work-Life Balance,Years at Company,Years in Current Role,Years Since Last Promotion,Years with Current Manager,Age Group,Income Group,Distance Group,Companies Worked Group,Salary Hike Category,Experience Group,Training Frequency,Company Tenure Group,Role Tenure Group,Promotion Recency Group,Years With Current Manager Group
38,No,Rarely Travels,Sales,3,Bachelors,Life Sciences,Low,Male,High,Senior Level,Sales Executive,High,Divorced,10609,0,No,12,High,Level 2,17,6,Fair,16,10,5,13,36–45,High (10k-15k),0-5,0–1,Low (11–15%),11–20,High (4–6),11–20 yrs,6–10 yrs,4–5 yrs,11–15 yrs
31,No,Never Travels,Research & Development,1,Masters,Medical,High,Male,Low,Mid Level,Manufacturing Director,High,Married,4345,0,No,12,Very High,Level 1,6,2,Good,5,4,1,4,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
59,No,Rarely Travels,Research & Development,3,Bachelors,Life Sciences,High,Male,Medium,Entry Level,Research Scientist,Very High,Married,2177,3,No,17,Low,Level 1,7,6,Good,1,0,0,0,56-60,Low (1k-5k),0-5,2–3,Medium (16–20%),6–10,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
37,No,Frequently Travels,Sales,4,Masters,Marketing,Low,Male,High,Entry Level,Sales Representative,Very High,Divorced,2793,4,No,17,High,Level 1,13,2,Good,9,8,5,8,36–45,Low (1k-5k),0-5,4–5,Medium (16–20%),11–20,Medium (2–3),6–10 yrs,6–10 yrs,4–5 yrs,6–10 yrs
29,No,Frequently Travels,Sales,1,High School,Medical,Medium,Female,High,Senior Level,Sales Executive,Very High,Married,7918,1,No,14,Very High,Level 1,11,5,Good,11,10,4,1,26–35,Medium (5k-10k),0-5,0–1,Low (11–15%),11–20,High (4–6),11–20 yrs,6–10 yrs,4–5 yrs,<3 yrs
35,No,Frequently Travels,Sales,1,Bachelors,Marketing,High,Female,High,Senior Level,Sales Executive,High,Single,8789,1,No,14,Low,No Stock,10,3,Best,10,7,0,8,26–35,Medium (5k-10k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
29,Yes,Rarely Travels,Research & Development,18,High School,Medical,High,Male,Medium,Entry Level,Research Scientist,Very High,Single,2389,1,Yes,13,High,No Stock,4,3,Fair,4,3,0,1,26–35,Low (1k-5k),11-20,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),<3 yrs
52,No,Rarely Travels,Research & Development,2,Bachelors,Life Sciences,High,Female,Medium,Entry Level,Laboratory Technician,Very High,Single,3212,7,No,15,Medium,No Stock,6,3,Fair,2,2,2,2,46–55,Low (1k-5k),0-5,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
42,No,Rarely Travels,Research & Development,4,Associate,Technical Degree,High,Male,High,Executive,Manager,Very High,Married,19232,1,No,11,Very High,No Stock,22,3,Good,22,17,11,15,36–45,Very High (15k-20K),0-5,0–1,Low (11–15%),21–30,Medium (2–3),21+ yrs,16–18 yrs,11–15 yrs,11–15 yrs
59,No,Rarely Travels,Human Resources,6,Associate,Medical,Medium,Male,High,Entry Level,Human Resources,High,Married,2267,8,No,17,Very High,No Stock,7,2,Fair,2,2,2,2,56-60,Low (1k-5k),6-10,6+,Medium (16–20%),6–10,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
50,No,Rarely Travels,Sales,1,Masters,Medical,Very High,Female,High,Executive,Manager,Very High,Divorced,19517,3,No,11,High,Level 1,32,3,Fair,7,0,0,6,46–55,Very High (15k-20K),0-5,2–3,Low (11–15%),31–40,Medium (2–3),6–10 yrs,<3 yrs,Recent (<1yr),6–10 yrs
33,Yes,Rarely Travels,Research & Development,14,Bachelors,Medical,High,Male,High,Entry Level,Laboratory Technician,Very High,Married,2436,5,Yes,13,High,Level 1,8,2,Bad,5,4,0,4,26–35,Low (1k-5k),11-20,4–5,Low (11–15%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
43,No,Rarely Travels,Sales,16,Bachelors,Marketing,Very High,Female,High,Manager,Manager,Very High,Married,16064,5,Yes,22,High,Level 1,22,3,Good,17,13,1,9,36–45,Very High (15k-20K),11-20,4–5,High (21–25%),21–30,Medium (2–3),11–20 yrs,11–15 yrs,Recent (<1yr),6–10 yrs
33,Yes,Rarely Travels,Research & Development,2,Associate,Life Sciences,Low,Female,High,Entry Level,Laboratory Technician,Low,Married,2707,7,No,20,Low,No Stock,13,3,Best,9,7,1,7,26–35,Low (1k-5k),0-5,6+,Medium (16–20%),11–20,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
52,No,Never Travels,Sales,2,Masters,Life Sciences,Low,Male,Medium,Executive,Manager,High,Single,19068,1,Yes,18,Very High,No Stock,33,2,Best,33,7,15,12,46–55,Very High (15k-20K),0-5,0–1,Medium (16–20%),31–40,Medium (2–3),21+ yrs,6–10 yrs,11–15 yrs,11–15 yrs
32,No,Rarely Travels,Sales,4,Associate,Life Sciences,High,Female,High,Entry Level,Sales Representative,Medium,Married,3931,2,No,11,Low,Level 1,6,5,Good,4,3,1,2,26–35,Low (1k-5k),0-5,2–3,Low (11–15%),6–10,High (4–6),3–5 yrs,3–5 yrs,Recent (<1yr),<3 yrs
32,Yes,Rarely Travels,Research & Development,1,Bachelors,Life Sciences,Very High,Male,Medium,Entry Level,Laboratory Technician,High,Single,3730,0,Yes,14,Very High,No Stock,4,2,Bad,3,2,1,2,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
39,No,Rarely Travels,Research & Development,1,Masters,Medical,High,Female,High,Entry Level,Laboratory Technician,High,Divorced,2232,7,No,14,High,Level 3,7,1,Good,3,2,1,2,36–45,Low (1k-5k),0-5,6+,Low (11–15%),6–10,Low (0–1),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
32,No,Never Travels,Sales,26,Masters,Marketing,High,Male,High,Mid Level,Sales Executive,Very High,Married,4465,0,No,18,Low,No Stock,4,2,Good,3,2,2,2,26–35,Low (1k-5k),21-30,0–1,Medium (16–20%),0–5,Medium (2–3),3–5 yrs,<3 yrs,1–3 yrs,<3 yrs
41,No,Rarely Travels,Research & Development,19,Associate,Life Sciences,High,Male,High,Mid Level,Research Scientist,Low,Divorced,3072,2,No,16,Low,Level 2,17,2,Fair,1,0,0,0,36–45,Low (1k-5k),11-20,2–3,Medium (16–20%),11–20,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
40,No,Rarely Travels,Research & Development,24,Associate,Technical Degree,Low,Male,High,Mid Level,Research Scientist,Very High,Divorced,3319,1,No,17,Low,Level 2,9,3,Good,9,8,4,7,36–45,Low (1k-5k),21-30,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,4–5 yrs,6–10 yrs
45,No,Rarely Travels,Research & Development,1,Bachelors,Other,High,Male,Very High,Executive,Manager,Very High,Married,19202,0,No,11,High,Level 1,25,2,Good,24,0,1,7,36–45,Very High (15k-20K),0-5,0–1,Low (11–15%),21–30,Medium (2–3),21+ yrs,<3 yrs,Recent (<1yr),6–10 yrs
31,No,Frequently Travels,Research & Development,3,Masters,Medical,Medium,Male,High,Senior Level,Research Director,High,Divorced,13675,9,No,12,Low,Level 1,9,3,Good,2,2,2,2,26–35,High (10k-15k),0-5,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
33,No,Rarely Travels,Research & Development,5,Masters,Life Sciences,High,Female,Medium,Entry Level,Research Scientist,Very High,Married,2911,1,No,13,High,Level 1,2,2,Fair,2,2,0,2,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
34,No,Rarely Travels,Research & Development,2,Masters,Life Sciences,Very High,Male,Medium,Mid Level,Manufacturing Director,Low,Married,5957,6,No,13,Medium,Level 1,13,3,Good,11,9,5,9,26–35,Medium (5k-10k),0-5,6+,Low (11–15%),11–20,Medium (2–3),11–20 yrs,6–10 yrs,4–5 yrs,6–10 yrs
37,No,Rarely Travels,Research & Development,1,Associate,Medical,High,Female,Medium,Entry Level,Research Scientist,Low,Married,3920,2,No,14,Low,Level 1,17,2,Fair,3,1,0,2,36–45,Low (1k-5k),0-5,2–3,Low (11–15%),11–20,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
45,No,Frequently Travels,Research & Development,7,Masters,Life Sciences,Low,Male,Very High,Mid Level,Manufacturing Director,High,Married,6434,4,No,17,Very High,Level 1,9,1,Good,3,2,0,2,36–45,Medium (5k-10k),6-10,4–5,Medium (16–20%),6–10,Low (0–1),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
37,Yes,Frequently Travels,Research & Development,10,Bachelors,Medical,Low,Male,High,Senior Level,Manufacturing Director,High,Divorced,10048,6,No,11,Medium,Level 2,17,5,Good,1,0,0,0,36–45,High (10k-15k),6-10,6+,Low (11–15%),11–20,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
39,No,Frequently Travels,Research & Development,2,Masters,Technical Degree,High,Female,High,Senior Level,Healthcare Representative,High,Single,10938,0,No,25,Very High,No Stock,20,1,Good,19,6,11,8,36–45,High (10k-15k),0-5,0–1,High (21–25%),11–20,Low (0–1),11–20 yrs,6–10 yrs,11–15 yrs,6–10 yrs
29,No,Rarely Travels,Research & Development,15,Bachelors,Life Sciences,High,Male,High,Entry Level,Research Scientist,Very High,Single,2340,1,No,19,Low,No Stock,6,1,Good,6,5,1,5,26–35,Low (1k-5k),11-20,0–1,Medium (16–20%),6–10,Low (0–1),6–10 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
42,No,Rarely Travels,Research & Development,17,Associate,Life Sciences,Very High,Female,Very High,Mid Level,Research Scientist,Low,Single,6545,3,Yes,13,High,No Stock,10,1,Good,3,2,0,2,36–45,Medium (5k-10k),11-20,2–3,Low (11–15%),6–10,Low (0–1),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
29,No,Rarely Travels,Sales,20,Associate,Marketing,Very High,Male,High,Mid Level,Sales Executive,Very High,Divorced,6931,2,No,14,Very High,Level 1,10,2,Good,3,2,0,2,26–35,Medium (5k-10k),11-20,2–3,Low (11–15%),6–10,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
25,No,Rarely Travels,Research & Development,1,Bachelors,Life Sciences,Low,Female,High,Mid Level,Manufacturing Director,High,Married,4898,0,No,12,Very High,Level 2,5,3,Good,4,2,1,2,18–25,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
42,No,Rarely Travels,Research & Development,2,Bachelors,Medical,Very High,Female,Medium,Entry Level,Laboratory Technician,Low,Divorced,2593,0,Yes,11,High,Level 1,10,4,Good,9,6,7,8,36–45,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,High (4–6),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
40,No,Rarely Travels,Research & Development,2,Associate,Medical,Low,Male,High,Executive,Research Director,High,Divorced,19436,0,No,19,Very High,Level 1,22,5,Good,21,7,3,9,36–45,Very High (15k-20K),0-5,0–1,Medium (16–20%),21–30,High (4–6),21+ yrs,6–10 yrs,1–3 yrs,6–10 yrs
51,No,Rarely Travels,Research & Development,1,Bachelors,Life Sciences,High,Male,High,Entry Level,Research Scientist,Very High,Married,2723,1,No,11,Medium,No Stock,1,0,Fair,1,0,0,0,46–55,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Low (0–1),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
31,Yes,Frequently Travels,Research & Development,29,Associate,Medical,High,Male,Medium,Entry Level,Laboratory Technician,Medium,Single,3479,0,No,11,Medium,No Stock,6,2,Best,5,4,1,4,26–35,Low (1k-5k),21-30,0–1,Low (11–15%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
32,No,Frequently Travels,Research & Development,7,Bachelors,Life Sciences,Medium,Male,Very High,Entry Level,Laboratory Technician,Medium,Married,2794,1,No,20,High,No Stock,5,3,Bad,5,1,0,3,26–35,Low (1k-5k),6-10,0–1,Medium (16–20%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
38,No,Never Travels,Sales,2,Associate,Life Sciences,Very High,Male,Medium,Mid Level,Sales Executive,Very High,Married,5249,3,No,18,Very High,Level 1,13,0,Good,8,7,7,5,36–45,Medium (5k-10k),0-5,2–3,Medium (16–20%),11–20,Low (0–1),6–10 yrs,6–10 yrs,6–10 yrs,3–5 yrs
32,No,Rarely Travels,Research & Development,2,High School,Technical Degree,Very High,Male,Medium,Mid Level,Laboratory Technician,Low,Single,2176,4,No,13,Very High,No Stock,9,5,Good,6,2,0,4,26–35,Low (1k-5k),0-5,4–5,Low (11–15%),6–10,High (4–6),6–10 yrs,<3 yrs,Recent (<1yr),3–5 yrs
46,No,Rarely Travels,Sales,2,Bachelors,Technical Degree,High,Female,Low,Manager,Manager,Medium,Married,16872,3,Yes,12,Medium,Level 1,28,2,Fair,7,7,7,7,46–55,Very High (15k-20K),0-5,2–3,Low (11–15%),21–30,Medium (2–3),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
28,Yes,Rarely Travels,Research & Development,2,Masters,Life Sciences,Low,Male,High,Entry Level,Laboratory Technician,High,Single,3485,2,No,11,High,No Stock,5,5,Bad,0,0,0,0,26–35,Low (1k-5k),0-5,2–3,Low (11–15%),0–5,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
29,No,Rarely Travels,Sales,2,Bachelors,Medical,Low,Male,Medium,Mid Level,Sales Executive,Medium,Married,6644,2,No,19,Medium,Level 2,10,2,Good,0,0,0,0,26–35,Medium (5k-10k),0-5,2–3,Medium (16–20%),6–10,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
31,No,Rarely Travels,Research & Development,23,Bachelors,Medical,Medium,Male,Medium,Mid Level,Healthcare Representative,Very High,Married,5582,0,No,21,Medium,Level 1,10,2,Good,9,0,7,8,26–35,Medium (5k-10k),21-30,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,<3 yrs,6–10 yrs,6–10 yrs
25,No,Never Travels,Research & Development,5,Associate,Life Sciences,Medium,Male,Very High,Mid Level,Healthcare Representative,Low,Divorced,4000,1,No,12,Very High,Level 2,6,2,Good,6,3,1,5,18–25,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
45,No,Rarely Travels,Research & Development,20,Associate,Medical,High,Male,High,Manager,Healthcare Representative,Very High,Married,13496,0,Yes,14,Medium,No Stock,21,2,Good,20,7,4,10,36–45,High (10k-15k),11-20,0–1,Low (11–15%),21–30,Medium (2–3),11–20 yrs,6–10 yrs,4–5 yrs,6–10 yrs
36,No,Rarely Travels,Research & Development,6,Bachelors,Life Sciences,Very High,Male,High,Entry Level,Laboratory Technician,Very High,Married,3210,0,No,11,High,Level 1,16,4,Good,15,13,10,11,36–45,Low (1k-5k),6-10,0–1,Low (11–15%),11–20,High (4–6),11–20 yrs,11–15 yrs,6–10 yrs,11–15 yrs
55,No,Rarely Travels,Research & Development,1,Bachelors,Medical,Very High,Male,High,Executive,Manager,Low,Single,19045,0,Yes,14,High,No Stock,37,2,Good,36,10,4,13,46–55,Very High (15k-20K),0-5,0–1,Low (11–15%),31–40,Medium (2–3),21+ yrs,6–10 yrs,4–5 yrs,11–15 yrs
47,Yes,Never Travels,Research & Development,29,Masters,Life Sciences,Low,Male,High,Senior Level,Manager,Medium,Married,11849,1,Yes,12,Very High,Level 1,10,2,Fair,10,7,9,9,46–55,High (10k-15k),21-30,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
28,No,Rarely Travels,Research & Development,9,Bachelors,Medical,Very High,Male,High,Entry Level,Research Scientist,Very High,Married,2070,1,No,23,Very High,Level 1,5,3,Fair,5,2,0,4,26–35,Low (1k-5k),6-10,0–1,High (21–25%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
37,No,Rarely Travels,Sales,6,Masters,Medical,High,Male,High,Mid Level,Sales Executive,Very High,Married,6502,4,No,14,Medium,Level 1,7,5,Best,5,4,0,1,36–45,Medium (5k-10k),6-10,4–5,Low (11–15%),6–10,High (4–6),3–5 yrs,3–5 yrs,Recent (<1yr),<3 yrs
21,No,Rarely Travels,Research & Development,3,Associate,Medical,Very High,Male,Medium,Entry Level,Research Scientist,High,Single,3230,1,No,17,Low,No Stock,3,4,Best,3,2,1,0,18–25,Low (1k-5k),0-5,0–1,Medium (16–20%),0–5,High (4–6),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
37,No,Never Travels,Research & Development,1,Masters,Medical,Low,Female,High,Senior Level,Research Director,Very High,Divorced,13603,2,Yes,18,Low,Level 2,15,2,Good,5,2,0,2,36–45,High (10k-15k),0-5,2–3,Medium (16–20%),11–20,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
35,No,Rarely Travels,Research & Development,22,Bachelors,Life Sciences,Medium,Female,Very High,Senior Level,Manager,Medium,Divorced,11996,7,No,18,Medium,Level 1,10,6,Fair,7,7,6,2,26–35,High (10k-15k),21-30,6+,Medium (16–20%),6–10,High (4–6),6–10 yrs,6–10 yrs,6–10 yrs,<3 yrs
38,No,Rarely Travels,Sales,7,Associate,Medical,Low,Female,Very High,Mid Level,Sales Executive,Low,Divorced,5605,1,Yes,24,High,Level 1,8,3,Good,8,0,7,7,36–45,Medium (5k-10k),6-10,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,<3 yrs,6–10 yrs,6–10 yrs
26,No,Frequently Travels,Research & Development,1,Bachelors,Life Sciences,High,Female,High,Mid Level,Manufacturing Director,Medium,Divorced,6397,1,No,20,Low,Level 1,6,6,Bad,6,5,1,4,26–35,Medium (5k-10k),0-5,0–1,Medium (16–20%),6–10,High (4–6),6–10 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
50,No,Rarely Travels,Research & Development,4,High School,Life Sciences,Low,Male,High,Executive,Research Director,Medium,Divorced,19144,3,No,14,Low,Level 2,28,4,Fair,10,4,1,6,46–55,Very High (15k-20K),0-5,2–3,Low (11–15%),21–30,High (4–6),6–10 yrs,3–5 yrs,Recent (<1yr),6–10 yrs
53,No,Rarely Travels,Research & Development,3,Masters,Medical,High,Male,High,Manager,Research Director,High,Married,17584,3,Yes,16,Very High,Level 3,21,5,Fair,5,3,1,3,46–55,Very High (15k-20K),0-5,2–3,Medium (16–20%),21–30,High (4–6),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
42,No,Rarely Travels,Sales,1,High School,Life Sciences,Medium,Male,High,Mid Level,Sales Executive,High,Married,4907,1,No,25,High,No Stock,20,3,Good,20,16,11,6,36–45,Low (1k-5k),0-5,0–1,High (21–25%),11–20,Medium (2–3),11–20 yrs,16–18 yrs,11–15 yrs,6–10 yrs
29,No,Frequently Travels,Sales,2,Associate,Life Sciences,Medium,Male,High,Mid Level,Sales Executive,Very High,Single,4554,1,No,18,Low,No Stock,10,3,Fair,10,7,0,9,26–35,Low (1k-5k),0-5,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
55,No,Rarely Travels,Research & Development,20,Associate,Technical Degree,Medium,Male,High,Mid Level,Laboratory Technician,Very High,Married,5415,3,Yes,19,Very High,Level 1,12,4,Good,10,7,0,8,46–55,Medium (5k-10k),11-20,2–3,Medium (16–20%),11–20,High (4–6),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
26,No,Frequently Travels,Research & Development,11,Associate,Medical,Low,Male,High,Mid Level,Healthcare Representative,Low,Married,4741,1,Yes,13,High,Level 1,5,3,Good,5,3,3,3,26–35,Low (1k-5k),11-20,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,3–5 yrs,1–3 yrs,3–5 yrs
37,No,Rarely Travels,Research & Development,1,Bachelors,Life Sciences,Very High,Female,High,Entry Level,Research Scientist,Very High,Single,2115,1,No,12,Medium,No Stock,17,3,Good,17,12,5,7,36–45,Low (1k-5k),0-5,0–1,Low (11–15%),11–20,Medium (2–3),11–20 yrs,11–15 yrs,4–5 yrs,6–10 yrs
44,Yes,Frequently Travels,Research & Development,24,Bachelors,Life Sciences,Very High,Male,High,Entry Level,Laboratory Technician,High,Divorced,3161,3,Yes,22,Very High,Level 1,19,0,Bad,1,0,0,0,36–45,Low (1k-5k),21-30,2–3,High (21–25%),11–20,Low (0–1),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
38,No,Rarely Travels,Research & Development,23,Masters,Life Sciences,Very High,Male,High,Mid Level,Healthcare Representative,Very High,Divorced,5745,9,No,14,Medium,Level 1,10,2,Good,2,2,1,2,36–45,Medium (5k-10k),21-30,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
26,Yes,Rarely Travels,Research & Development,16,Masters,Medical,Low,Male,High,Entry Level,Laboratory Technician,Medium,Divorced,2373,2,Yes,13,Very High,Level 1,5,2,Good,3,2,0,2,26–35,Low (1k-5k),11-20,2–3,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
28,No,Rarely Travels,Research & Development,8,Associate,Life Sciences,Very High,Female,High,Entry Level,Research Scientist,Very High,Single,3310,1,No,21,Very High,No Stock,5,3,Good,5,3,0,2,26–35,Low (1k-5k),6-10,0–1,High (21–25%),0–5,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),<3 yrs
49,No,Frequently Travels,Research & Development,10,Masters,Life Sciences,High,Female,High,Executive,Research Director,Low,Single,18665,9,Yes,11,Very High,No Stock,22,4,Good,3,2,1,2,46–55,Very High (15k-20K),6-10,6+,Low (11–15%),21–30,High (4–6),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
36,No,Rarely Travels,Research & Development,3,Bachelors,Technical Degree,High,Male,High,Mid Level,Research Scientist,Medium,Single,4485,4,No,12,Very High,No Stock,10,2,Good,8,0,7,7,36–45,Low (1k-5k),0-5,4–5,Low (11–15%),6–10,Medium (2–3),6–10 yrs,<3 yrs,6–10 yrs,6–10 yrs
31,No,Frequently Travels,Sales,5,Bachelors,Marketing,Very High,Female,High,Entry Level,Sales Representative,Medium,Divorced,2789,1,No,11,High,Level 1,2,5,Fair,2,2,2,2,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,High (4–6),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
26,Yes,Rarely Travels,Sales,4,Masters,Marketing,Very High,Male,Medium,Mid Level,Sales Executive,Very High,Single,5828,1,Yes,12,Medium,No Stock,8,0,Good,8,7,7,4,26–35,Medium (5k-10k),0-5,0–1,Low (11–15%),6–10,Low (0–1),6–10 yrs,6–10 yrs,6–10 yrs,3–5 yrs
37,No,Frequently Travels,Research & Development,9,Bachelors,Medical,Medium,Male,High,Entry Level,Research Scientist,Very High,Married,2326,1,Yes,12,High,Level 3,4,3,Fair,4,2,1,2,36–45,Low (1k-5k),6-10,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
42,No,Frequently Travels,Sales,26,Bachelors,Marketing,High,Female,High,Manager,Sales Executive,Medium,Married,13525,5,No,14,Very High,Level 1,23,2,Best,20,4,4,8,36–45,High (10k-15k),21-30,4–5,Low (11–15%),21–30,Medium (2–3),11–20 yrs,3–5 yrs,4–5 yrs,6–10 yrs
18,Yes,Rarely Travels,Research & Development,3,Bachelors,Life Sciences,High,Male,High,Entry Level,Laboratory Technician,High,Single,1420,1,No,13,High,No Stock,0,2,Good,0,0,0,0,18–25,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
35,No,Rarely Travels,Sales,16,Bachelors,Marketing,High,Male,High,Senior Level,Sales Executive,Medium,Married,8020,0,No,15,High,Level 2,12,3,Fair,11,9,6,9,26–35,Medium (5k-10k),11-20,0–1,Low (11–15%),11–20,Medium (2–3),11–20 yrs,6–10 yrs,6–10 yrs,6–10 yrs
36,No,Frequently Travels,Research & Development,18,Masters,Life Sciences,High,Male,Very High,Entry Level,Laboratory Technician,Very High,Married,3688,4,No,18,Very High,Level 2,4,2,Good,1,0,0,0,36–45,Low (1k-5k),11-20,4–5,Medium (16–20%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
51,No,Rarely Travels,Research & Development,2,Bachelors,Medical,Very High,Male,Low,Mid Level,Manufacturing Director,Medium,Divorced,5482,5,No,18,Very High,Level 1,13,3,Good,4,1,1,2,46–55,Medium (5k-10k),0-5,4–5,Medium (16–20%),11–20,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
41,No,Rarely Travels,Sales,2,Masters,Life Sciences,Very High,Male,High,Manager,Manager,Medium,Single,16015,1,No,19,Medium,No Stock,22,2,Good,22,10,0,4,36–45,Very High (15k-20K),0-5,0–1,Medium (16–20%),21–30,Medium (2–3),21+ yrs,6–10 yrs,Recent (<1yr),3–5 yrs
18,No,Rarely Travels,Sales,10,Bachelors,Medical,Very High,Female,Medium,Entry Level,Sales Representative,High,Single,1200,1,No,12,Low,No Stock,0,2,Good,0,0,0,0,18–25,Low (1k-5k),6-10,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
28,No,Rarely Travels,Research & Development,16,Associate,Medical,Medium,Male,Very High,Mid Level,Healthcare Representative,Low,Single,5661,0,No,19,High,No Stock,9,2,Good,8,3,0,7,26–35,Medium (5k-10k),11-20,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),6–10 yrs
31,No,Rarely Travels,Sales,7,Bachelors,Technical Degree,Medium,Male,Very High,Mid Level,Sales Executive,Very High,Married,6929,4,No,11,Medium,Level 1,10,3,Fair,8,7,7,7,26–35,Medium (5k-10k),6-10,4–5,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
39,No,Rarely Travels,Research & Development,1,Bachelors,Medical,High,Male,Very High,Senior Level,Healthcare Representative,Very High,Divorced,9613,0,No,17,Low,Level 3,19,5,Fair,18,10,3,7,36–45,Medium (5k-10k),0-5,0–1,Medium (16–20%),11–20,High (4–6),11–20 yrs,6–10 yrs,1–3 yrs,6–10 yrs
36,No,Never Travels,Research & Development,24,Masters,Life Sciences,Medium,Female,High,Mid Level,Laboratory Technician,Medium,Married,5674,7,No,15,High,Level 1,11,3,Good,9,8,0,8,36–45,Medium (5k-10k),21-30,6+,Low (11–15%),11–20,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
